Source	Target	Color	weight	Label
39	2933	30	0.04459768787624351	392933
1744	2058	12	0.0701665983859325	17442058
984	2343	26	0.12551419612039805	9842343
560	852	4	0.11302838476689823	560852
2049	3985	11	0.06375832737196975	20493985
2574	3272	10	0.08797369842631567	25743272
86	2218	24	0.1552285942446841	862218
3617	3927	32	0.14112350079657737	36173927
3292	3460	18	0.052238025398355814	32923460
774	1862	25	0.11442595322092788	7741862
1158	1956	35	0.10896713802861285	11581956
1927	2971	8	0.050581949101403435	19272971
364	3344	15	0.11528333399332778	3643344
144	3166	3	0.2909784847571524	1443166
1470	2501	2	0.030969101940119613	14702501
2356	3798	38	0.06312760783619344	23563798
809	3070	24	0.13127257583262877	8093070
910	2324	15	0.2095011634172215	9102324
1886	2124	3	0.16374739030616012	18862124
2603	3375	17	0.2835392222285099	26033375
3070	3332	20	0.34509030034806	30703332
2220	3096	34	0.03767082589865136	22203096
2658	3526	30	0.11300204388268967	26583526
976	1152	15	0.14385199910485993	9761152
2483	2790	2	0.7818211682167447	24832790
1993	3197	37	0.12125752162491961	19933197
775	2678	37	0.06737547198509176	7752678
1907	2138	24	0.07324859357497793	19072138
1007	2655	11	0.04892080495765105	10072655
1598	3713	13	0.19429283662473557	15983713
491	2336	7	0.1715210582782744	4912336
2053	3110	15	0.1509046237289182	20533110
2134	3654	2	0.43766149191184694	21343654
1778	2344	36	0.03461989872712766	17782344
95	3104	23	0.1363056844157574	953104
114	432	6	0.04636369714375288	114432
3056	3372	5	0.0762102832893718	30563372
1907	2124	0	0.24853836111304933	19072124
2755	3469	16	0.1294624172864179	27553469
2300	2793	0	0.14295496673285576	23002793
1992	2355	31	0.016728426836283797	19922355
348	3903	34	0.16367941189073595	3483903
586	1262	12	0.13651205133400024	5861262
1993	3170	26	0.04618235120844339	19933170
1544	1577	26	0.0611387416940594	15441577
2406	2624	19	0.05641488666880784	24062624
1577	3857	33	0.0979238702819499	15773857
100	959	20	0.07005589430464698	100959
704	1998	23	0.039561859908613675	7041998
2245	3080	10	0.14084304580459164	22453080
1425	1569	24	0.04299343349676848	14251569
2287	2399	34	0.12818067615313805	22872399
518	567	7	0.9061181624629097	518567
2124	2516	0	0.2686818328583064	21242516
225	1495	35	0.13556233353258682	2251495
3264	3992	38	0.04604757032746786	32643992
2134	3634	2	0.5859709573541159	21343634
420	1653	25	0.02552025827874268	4201653
1240	1886	17	0.07252860635985946	12401886
3127	3862	23	0.24214751289070824	31273862
222	2138	27	0.09190574990327674	2222138
0	444	27	0.013872022992069445	0444
1631	3663	16	0.021348575064908032	16313663
2218	2800	9	0.14540493726720677	22182800
1545	3472	38	0.15273825707822805	15453472
1577	2755	10	0.13810963150494343	15772755
2483	2757	31	0.79030247696747	24832757
1984	3332	2	0.10054429868857517	19843332
822	3194	17	0.09387849070563546	8223194
384	1946	15	0.054246219725250004	3841946
2081	3232	31	0.20535828531791925	20813232
1262	1450	33	0.26537025567746086	12621450
1150	3214	15	0.05020678274317448	11503214
586	1240	24	0.1011564956945836	5861240
2081	2143	30	0.13485267036472307	20812143
894	1550	23	0.02710057430081762	8941550
660	1886	7	0.08342213543388423	6601886
885	1259	11	0.08226081601813337	8851259
222	2124	0	0.31184359102328435	2222124
2911	3639	32	0.06388961348832481	29113639
2951	3802	34	0.036880911166316185	29513802
1866	3056	5	0.06485319322899095	18663056
565	3095	1	0.13865545447360372	5653095
1811	1950	17	0.5324644687547406	18111950
2288	3194	27	0.13557387378037178	22883194
523	3927	32	0.20911622456439613	5233927
2185	3075	0	0.07294012338904139	21853075
95	2698	32	0.08469596638527156	952698
1294	2138	36	0.04794668044128915	12942138
1792	1874	9	0.152682557576889	17921874
2143	3903	34	0.0672073249312702	21433903
702	3434	29	0.1690467179481123	7023434
225	2550	5	0.17792392527500245	2252550
2836	3962	26	0.03418162727518737	28363962
2325	3857	8	0.03940803749051934	23253857
784	1829	15	0.424216983654414	7841829
565	3089	34	0.029204641030956432	5653089
464	1495	30	0.14042066386051463	4641495
1429	2790	29	0.7423079770657478	14292790
2475	3257	14	0.06453490056433295	24753257
704	1958	36	0.13788917897012715	7041958
1262	2516	38	0.16060182068000559	12622516
2103	3722	35	0.027838560153265957	21033722
1526	3110	32	0.044593012792425286	15263110
2624	2771	14	0.04676919614440576	26242771
404	2053	35	0.02410453587834094	4042053
2297	2383	10	0.06483459172403148	22972383
1792	2947	8	0.08778974107495162	17922947
2325	2755	21	0.055580212674170106	23252755
1723	3214	30	0.049169979496949526	17233214
38	2596	5	0.055582078830289955	382596
95	1589	34	0.059185671465647405	951589
77	2551	2	0.04008136893244968	772551
1977	2616	3	0.03419339238884121	19772616
2715	3709	13	0.1278346419411423	27153709
2287	2343	27	0.02790754958234178	22872343
2053	2679	30	0.11346992200365046	20532679
2846	3977	8	0.04157971200224297	28463977
1789	2800	11	0.11613629809278624	17892800
2913	3072	12	0.13555682100124844	29133072
967	2584	1	0.1277465210782539	9672584
1996	3558	4	0.013576261693599233	19963558
1886	3848	9	0.05230072705048664	18863848
703	2056	29	0.02756659571478071	7032056
313	2182	33	0.06554500475484729	3132182
1445	2185	27	0.021909713060238027	14452185
1234	1973	2	0.07695984564472289	12341973
309	411	10	0.06682218596669932	309411
586	897	24	0.05408605995598318	586897
1844	3432	30	0.6576271710248773	18443432
1086	2182	38	0.12310732189344364	10862182
464	2550	6	0.18430042514559314	4642550
1223	3619	3	0.05812929437588694	12233619
2688	3056	7	0.05639156325363409	26883056
1107	1875	30	0.07490032862299593	11071875
2419	2550	18	0.1681786076333377	24192550
703	2043	3	0.045861218883891296	7032043
915	2138	24	0.07414879838688612	9152138
313	1086	2	0.09852763135480443	3131086
3879	3882	33	0.03718504496929558	38793882
1846	1950	28	0.6750822326154423	18461950
1429	2757	19	0.7503606410221112	14292757
1907	3848	9	0.07938286504502459	19073848
1946	3807	16	0.04337605880898776	19463807
165	2529	9	0.7294406091268765	1652529
2394	3397	32	0.02499579431167397	23943397
2250	2282	36	0.0715606891473364	22502282
144	1599	17	0.450874417152502	1441599
486	3201	31	0.08758351235791477	4863201
392	1206	26	0.05039264435419901	3921206
2018	2143	31	0.08303432112963252	20182143
915	2124	22	0.2515928283416757	9152124
1299	3080	8	0.03348896322487333	12993080
2931	3639	5	0.0673418123054772	29313639
1941	2282	31	0.07588282845156921	19412282
661	1550	30	0.0730912231884652	6611550
2869	3259	34	0.6287153339375693	28693259
2189	3194	15	0.11911938524477864	21893194
707	3292	23	0.08774741110486556	7073292
86	222	4	0.13143831926253444	86222
1496	2859	13	0.06024073084925704	14962859
165	1429	17	0.6108207776272667	1651429
1303	3166	3	0.18596854328333343	13033166
535	3366	4	0.22384647251403408	5353366
549	2527	11	0.04868225082022484	5492527
875	3287	27	0.022426135776867907	8753287
166	3335	6	0.05567644363489545	1663335
1523	2252	27	0.24134967646418712	15232252
2184	3992	15	0.08315406376579718	21843992
507	1034	6	0.6649660255913302	5071034
586	1886	12	0.05686166694951522	5861886
174	1245	8	0.0223405733355596	1741245
14	3357	1	0.05282535459946219	143357
2141	3857	4	0.030962168693378242	21413857
3170	3608	27	0.1535966453447568	31703608
1392	1907	35	0.10805023435530425	13921907
78	1155	14	0.11730971074491049	781155
86	2800	13	0.10944386145528097	862800
565	3020	30	0.03280654684804748	5653020
378	2330	16	0.02329566664107117	3782330
2495	2931	0	0.0634962350257214	24952931
305	2059	19	0.0801058093459236	3052059
1657	2239	23	0.08938540815970793	16572239
553	2383	36	0.09117095794622888	5532383
897	1907	31	0.058859957594699544	8971907
3634	3654	2	0.41717818766105363	36343654
222	3848	0	0.0996024822506061	2223848
2584	2793	0	0.23764716783019285	25842793
2175	3681	23	0.0516229518693284	21753681
518	3728	20	0.38627770278656043	5183728
1142	3753	5	0.016554259988352006	11423753
2344	3639	23	0.020909132075023144	23443639
1620	2667	1	0.03007551385040776	16202667
10	2791	1	0.013067566753942432	102791
90	3272	16	0.060924545890715054	903272
2893	3201	31	0.09596948839128723	28933201
656	2495	11	0.02369607842200104	6562495
902	1724	30	0.14633785862142476	9021724
1450	1886	31	0.11053526006814356	14501886
654	1930	25	0.6719439144544258	6541930
3269	3798	2	0.14634685607481557	32693798
2755	2971	25	0.08515559722601464	27552971
517	1808	15	0.1355955932876661	5171808
2053	2610	10	0.031528613727979424	20532610
1778	2931	11	0.11149992805783543	17782931
378	2317	0	0.012189631618824852	3782317
1046	3528	5	0.03768016744600464	10463528
38	2527	32	0.2481240998683922	382527
2495	2911	16	0.0602411752056043	24952911
2093	2306	4	0.06296262100580384	20932306
1248	1404	33	0.1338158787072339	12481404
2414	3166	20	0.28122060754883627	24143166
1078	1713	1	0.042965303354389986	10781713
1599	1853	30	0.04667982684593368	15991853
1772	2769	9	0.1259371798437682	17722769
309	1886	34	0.009793588368375154	3091886
808	2814	23	0.020749961258406127	8082814
656	1392	0	0.10009355981527485	6561392
586	831	38	0.05902585283171598	586831
95	168	23	0.05337960531026775	95168
384	3492	18	0.2594079683824696	3843492
984	1808	17	0.723606765083751	9841808
1491	3479	27	0.10595013123826705	14913479
1220	1656	15	0.018193012010660925	12201656
1145	1998	24	0.017658344557778295	11451998
1387	3927	30	0.053995242868204035	13873927
959	3509	22	0.16210624476709629	9593509
2786	2827	9	0.052470489415790744	27862827
132	250	5	0.03868659339434093	132250
1778	2911	16	0.10578401536442951	17782911
86	897	14	0.0656485773902519	86897
1933	2143	35	0.0846791263475232	19332143
1429	1608	18	0.9777895544258352	14291608
1362	2814	7	0.05560090179421369	13622814
606	3828	17	0.07983138757902326	6063828
1034	2399	4	0.5493671029575112	10342399
2270	2288	1	0.21606642068428375	22702288
734	992	24	0.10918467762940326	734992
656	3551	27	0.08564704513594501	6563551
2574	3813	23	0.09269969562750682	25743813
1810	2678	37	0.0717962587940994	18102678
445	3194	36	0.08142621270413522	4453194
272	2446	10	0.055671810672233396	2722446
348	3232	11	0.24338875008835525	3483232
2800	2931	12	0.1370819277017308	28002931
348	2143	11	0.1598261440259648	3482143
769	908	1	0.030483780768317943	769908
1908	3507	26	0.028586973050197566	19083507
165	654	31	0.4746971656847712	165654
690	3072	32	0.176521735330014	6903072
3262	3852	36	0.08555262221523655	32623852
1017	3080	5	0.09766218971336339	10173080
114	3559	25	0.051173996258110026	1143559
2185	3663	27	0.025256846795751322	21853663
2439	3618	37	0.0639731593042795	24393618
9	55	21	0.08865071483270243	955
1027	3871	38	0.04981065572553705	10273871
250	1294	13	0.045227124743285364	2501294
2439	2526	8	0.054962650263630064	24392526
2354	2526	38	0.09355746898252743	23542526
2859	3867	27	0.02924687576920129	28593867
2569	2582	16	0.15129742645547037	25692582
384	466	0	0.4678343879527229	384466
1876	2576	27	0.03684245023715083	18762576
384	464	5	0.19813597478171283	384464
515	3186	9	0.17164153432945717	5153186
446	1964	4	0.023843968965560028	4461964
915	3848	31	0.08035845834462073	9153848
2800	2911	32	0.13005458387976487	28002911
1043	1577	10	0.09780747975000807	10431577
41	2132	6	0.060509628479178595	412132
26	3540	8	0.07592758840563545	263540
2927	3169	30	0.030417570050709525	29273169
313	2791	1	0.06060864473968102	3132791
2679	3372	28	0.43585287639404047	26793372
2409	3469	38	0.0709262949704798	24093469
392	1831	32	0.06801367726114207	3921831
174	1885	23	0.022387563371593106	1741885
666	1377	24	0.03671094141970822	6661377
3081	3617	32	0.09896412204884175	30813617
1811	3467	24	0.02444454163198555	18113467
1086	2791	2	0.11383579824885871	10862791
3559	3921	6	0.08498061238365269	35593921
774	3312	12	0.07513754833615066	7743312
660	915	32	0.12817554503232703	660915
304	1876	24	0.2727344242853403	3041876
3047	3608	36	0.08328245503717022	30473608
420	2053	18	0.03352951798981867	4202053
831	1392	5	0.07389743319966878	8311392
1331	3226	18	0.2014931725225611	13313226
552	608	19	0.027816736414529024	552608
